Episode,Loss,Reward,Step
0,0.017713560213451274,0,37
1,0.01432267843152989,0,11
2,0.01433547700501301,0,33
3,0.014138777522020973,0,16
4,0.012634134657370547,0,6
5,0.014926657324568146,0,21
6,0.010296552519624433,0,6
7,0.01520530931742453,0,41
8,0.014043865259736776,0,2
9,0.016549705372502405,0,12
10,0.015343175763264298,0,100
11,0.014270914175237218,0,12
12,0.013692279326884696,0,12
13,0.014307861293976506,0,27
14,0.016963014379143715,0,2
15,0.015308720197666574,0,27
16,0.014840156638196536,0,7
17,0.011452925391495228,0,6
18,0.0125625885091722,0,5
19,0.012294335756450891,0,4
20,0.015707736007041402,0,9
21,0.013674897762636343,0,3
22,0.012497542542405427,0,10
23,0.01488041365519166,0,6
24,0.013698712830725861,0,19
25,0.01274388296795743,0,7
26,0.015153671381995082,0,4
27,0.013226170713702837,0,9
28,0.011970205365547113,1,7
29,0.012816274538636208,0,12
30,0.013231090425203243,0,6
31,0.012828190027820792,0,33
32,0.01849077269434929,0,4
33,0.013125199079513549,0,5
34,0.01397530228132382,1,8
35,0.008636856451630592,0,1
36,0.013161078095436096,0,2
37,0.010481343604624271,0,4
38,0.013661339098368497,0,34
39,0.013081682879211647,1,14
40,0.015056155913043767,0,8
41,0.008461252320557833,0,2
42,0.015042496586425437,0,9
43,0.01535727611071495,0,43
44,0.014430073222943715,0,21
45,0.014940000737884216,0,7
46,0.01406402989394135,0,9
47,0.017521932255476713,0,4
48,0.016210926324129106,0,5
49,0.0076792707841377705,0,4
50,0.011637205546894283,0,27
51,0.014350930430615942,0,15
52,0.01146926303309473,0,11
53,0.011963822745851107,0,7
54,0.01232682556292275,0,32
55,0.010675604455173016,0,2
56,0.014840661411118857,0,17
57,0.014648354412721736,0,7
58,0.01278620338640534,0,13
59,0.013679434545338154,0,26
60,0.01344661908940627,0,13
61,0.01409265740464131,0,3
62,0.017136376351118088,0,3
63,0.008294427767395973,0,1
64,0.015140469984284468,0,7
65,0.013686653620635088,0,13
66,0.013676043116935977,0,27
67,0.010646166401388853,0,23
68,0.013163473355867292,0,23
69,0.01134248773774339,0,18
70,0.014311217835971288,0,7
71,0.014171775120000044,0,3
72,0.013412070117664297,0,37
73,0.012649345083226418,0,29
74,0.012995607840518156,0,6
75,0.012367547497463723,0,30
76,0.013453864508533272,0,29
77,0.015742917959060933,0,9
78,0.012507512843945906,0,21
79,0.012726000044494867,0,4
80,0.011992270592600107,0,2
81,0.014434568001888692,0,16
82,0.014393418934196234,0,25
83,0.015384513884782791,0,6
84,0.014631608252724011,0,15
85,0.012530894550893987,0,21
86,0.01315769094175526,0,7
87,0.01689843727009637,0,7
88,0.013216533281299616,0,31
89,0.013041369043863736,0,13
90,0.012245791032910347,0,4
91,0.013570290834953388,0,24
92,0.01468189676395721,0,18
93,0.013417225483120705,0,49
94,0.013466403897230824,0,12
95,0.014031508866923325,0,33
96,0.010882812552154064,0,9
97,0.010683422442525625,0,2
98,0.013519967038353736,0,22
99,0.014067387906834483,0,8
100,0.014364425837993623,0,5
101,0.017221350222826004,0,1
102,0.014648693408817052,0,25
103,0.012460309934491912,0,6
104,0.013016958565761646,0,18
105,0.014420669461632597,0,29
106,0.012687834290166696,0,6
107,0.015104735270142555,0,1
108,0.020007409155368805,0,1
109,0.009611687157303095,0,2
110,0.012934475062558284,0,13
111,0.012054548203013837,0,20
112,0.007820529863238335,0,1
113,0.014077295238773027,1,18
114,0.011243071096638838,0,12
115,0.014538241245855506,0,26
116,0.015238823576105965,0,9
117,0.011792863078881055,0,4
118,0.013572119612945244,0,24
119,0.014189086388796568,0,11
120,0.015689699072390796,0,5
121,0.0132056758178536,0,27
122,0.01626741018315608,0,11
123,0.01382738845422864,0,10
124,0.01362219718284905,0,10
125,0.01301013840210819,0,43
126,0.013226028620487168,0,21
127,0.013672397239133716,0,8
128,0.01271940612867992,0,36
129,0.013355022232810205,0,22
130,0.014073282635460297,0,24
131,0.013230280558962157,1,85
132,0.013053888703738763,0,44
133,0.012025757829713471,2,34
134,0.01380685530602932,0,1
135,0.01066752360202372,0,6
136,0.013801619643345475,0,12
137,0.013194383898129066,0,6
138,0.011823033481570227,0,14
139,0.013420867888877789,0,24
140,0.014191858237609267,0,16
141,0.01259831335538855,0,26
142,0.014288333477452397,0,4
143,0.014260468890472335,0,49
144,0.014538604528449165,0,48
145,0.013459764663130045,0,25
146,0.01521031876715521,0,27
147,0.012654878137012323,0,15
148,0.012467715801117388,0,37
149,0.01429007202386856,0,6
150,0.014404461421589885,0,18
151,0.016037871750692528,0,6
152,0.013601796164249,0,13
153,0.013342589884996415,0,5
154,0.011887929867953062,0,8
155,0.013554515043164002,0,17
156,0.009199568594340235,0,4
157,0.015722059295512736,0,4
158,0.010468664986547083,0,8
159,0.012881946391784228,1,13
160,0.011863358451851777,0,14
161,0.012937075026878497,0,41
162,0.014719884187259056,0,27
163,0.012496815154166974,0,23
164,0.015727999561931938,0,16
165,0.012705045486135142,0,14
166,0.013696290863056978,0,3
167,0.0157732858400171,0,24
168,0.005079343914985657,0,1
169,0.016264730000070164,0,14
170,0.013106187586398685,0,17
171,0.012913668032495244,1,31
172,0.014303831487066217,0,9
173,0.013332081564630453,2,52
174,0.012332019436618557,0,23
175,0.012817418704239221,0,13
176,0.013919862835629754,0,73
177,0.013994591606950218,1,22
178,0.014628753017556543,0,24
179,0.011036893352866173,0,3
180,0.007224810542538762,0,2
181,0.013460287125781178,0,12
182,0.011625228449702263,0,9
183,0.013844576676523215,0,57
184,0.011924487228194872,0,3
185,0.01603962590351053,0,23
186,0.01128978719934821,0,15
187,0.014090962203529974,0,6
188,0.015183945186436176,0,1
189,0.018163097091019154,0,6
190,0.01292273421616604,0,66
191,0.013700011087995437,0,45
192,0.014885739888995886,0,6
193,0.017242543399333954,0,36
194,0.01340755085564322,0,18
195,0.015751522686332464,0,40
196,0.018622459081763573,0,11
197,0.013973894477304485,0,9
198,0.011197719412545363,0,3
199,0.01506783749516073,0,19
200,0.014658726459273543,1,78
201,0.016052572056651115,0,8
202,0.021751235239207745,0,2
203,0.01527072926650622,3,84
204,0.015479375870199874,0,32
205,0.0103836040943861,0,1
206,0.01553258519353611,0,14
207,0.01654849966871552,0,16
208,0.014832510152787325,0,42
209,0.016636437037959695,0,12
210,0.015589639047781626,1,30
211,0.015019247711349566,0,26
212,0.016353637747768615,0,37
213,0.015454479173058644,0,16
214,0.014862885308820148,0,43
215,0.011804194888100028,0,4
216,0.016906685894355178,0,4
217,0.015555187251026692,0,19
218,0.020049977861344815,0,5
219,0.018580954211453598,0,3
220,0.019267027731984854,0,4
221,0.01643032254651189,0,15
222,0.017451873049139977,0,14
223,0.0167570139747113,0,4
224,0.0161091935976098,1,12
225,0.015445085552831491,0,3
226,0.012935485690832138,0,5
227,0.018980589296136583,0,7
228,0.014900978716711203,0,30
229,0.016144318221246495,3,85
230,0.015776789610219354,1,51
231,0.016640361864119768,0,18
232,0.014696001540869474,0,2
233,0.018824712166355714,0,9
234,0.012117153033614159,0,6
235,0.016682464939852554,0,6
236,0.017266115306743553,0,7
237,0.016884604934602976,1,52
238,0.014803276131195682,0,7
239,0.013731221701683742,0,14
240,0.01695015730166977,0,22
241,0.019521666025476798,1,21
242,0.016464311396703124,0,4
243,0.01809811534670492,2,30
244,0.01749530576635152,0,20
245,0.014230232872068881,0,15
246,0.016016749494398633,1,60
247,0.015557556614900629,0,30
248,0.015234277216774044,0,33
249,0.014138247848798831,0,15
250,0.01927573758770119,0,11
251,0.01770475949963619,0,29
252,0.01414535567164421,0,2
253,0.016534770500253548,0,11
254,0.01588405203074217,0,9
255,0.01794632188975811,0,5
256,0.01862333994358778,0,11
257,0.01684574394122414,0,23
258,0.017364942468702793,0,22
259,0.015707128681242466,0,9
260,0.012608997834225496,0,6
261,0.017495621430564177,0,83
262,0.03443117067217827,0,1
263,0.014495926443487406,0,2
264,0.019232909304692465,0,17
265,0.02251739939674735,0,14
266,0.020512707841893036,0,15
267,0.017834247057807857,0,29
268,0.019927059579640628,0,5
269,0.015416698041372,0,40
270,0.01715402549598366,0,8
271,0.017395361758223395,1,41
272,0.020507604415927614,1,21
273,0.019629305571709808,0,38
