Episode,Loss,Reward,Step
0,0.25,0,4
1,1.0,0,1
2,0.02857142857142857,0,35
3,0.3333333333333333,0,3
4,0.1,0,10
5,0.125,0,8
6,0.16666666666666666,0,6
7,0.14285714285714285,0,7
8,0.2857142857142857,1,7
9,0.16666666666666666,0,6
10,0.16666666666666666,0,6
11,0.16666666666666666,0,6
12,0.08333333333333333,0,12
13,0.125,0,8
14,1.0,0,1
15,0.5,0,2
16,0.02,0,50
17,0.0625,0,16
18,0.16666666666666666,0,6
19,0.1,0,10
20,0.07692307692307693,0,13
21,0.045454545454545456,0,22
22,0.07142857142857142,0,14
23,0.09090909090909091,0,11
24,0.01639344262295082,0,61
25,0.05,0,20
26,0.16666666666666666,0,6
27,0.1,0,10
28,0.05,0,20
29,0.5,0,2
30,0.16666666666666666,1,12
31,0.027777777777777776,0,36
32,0.03571428571428571,0,28
33,0.03333333333333333,0,30
34,1.0,0,1
35,0.1,0,10
36,0.1,0,10
37,0.0625,0,16
38,0.1111111111111111,0,9
39,1.0,0,1
40,1.0,0,1
41,0.07142857142857142,0,14
42,0.14285714285714285,0,7
43,0.14285714285714285,0,7
44,0.1,0,10
45,0.07142857142857142,0,14
46,0.058823529411764705,0,17
47,0.09090909090909091,0,11
48,0.07692307692307693,0,13
49,0.14285714285714285,0,7
50,0.047619047619047616,0,21
51,0.1,0,10
52,0.047619047619047616,0,21
53,0.1,1,20
54,0.2,0,5
55,0.05263157894736842,0,19
56,0.03125,0,32
57,0.07142857142857142,0,14
58,0.1111111111111111,0,9
59,0.2,0,5
60,0.015384615384615385,0,65
61,0.3333333333333333,0,3
62,0.14285714285714285,0,7
63,0.25,0,4
64,1.0,0,1
65,0.07142857142857142,0,14
66,0.05555555555555555,0,18
67,0.041666666666666664,0,24
68,0.045454545454545456,0,22
69,0.05263157894736842,0,19
70,0.03125,0,32
71,0.125,0,8
72,0.1111111111111111,0,9
73,0.09090909090909091,0,11
74,0.02,0,50
75,0.09090909090909091,0,11
76,0.125,0,8
77,0.25,0,4
78,0.043478260869565216,0,23
79,0.0625,0,16
80,0.07142857142857142,0,14
81,0.14285714285714285,0,7
82,0.04,0,25
83,0.043478260869565216,0,23
84,0.045454545454545456,0,22
85,0.023809523809523808,0,42
86,0.1111111111111111,0,9
87,0.06666666666666667,0,15
88,0.2,0,5
89,0.07142857142857142,0,14
90,0.08333333333333333,0,12
91,0.1111111111111111,0,9
92,0.14285714285714285,0,7
93,0.037037037037037035,0,27
94,0.03571428571428571,0,28
95,0.05714285714285714,1,35
96,0.05555555555555555,0,18
97,0.2,0,5
98,0.05,0,20
99,0.022727272727272728,0,44
100,0.16666666666666666,0,6
101,0.3333333333333333,0,3
102,1.0,0,1
103,0.25,0,4
104,0.07142857142857142,0,14
105,0.07142857142857142,0,14
106,0.5,0,2
107,0.1111111111111111,0,9
108,0.0625,0,16
109,0.06666666666666667,0,15
110,0.5,0,2
111,0.0625,0,16
112,0.25,0,4
113,0.08333333333333333,0,12
114,0.0625,0,16
115,0.5,0,2
116,0.3333333333333333,0,3
117,0.019230769230769232,0,52
118,0.25,0,4
119,0.05263157894736842,0,19
120,0.09090909090909091,0,11
121,0.09090909090909091,0,11
122,0.125,0,8
123,0.0625,0,16
124,0.07142857142857142,0,14
125,0.022222222222222223,0,45
126,0.05405405405405406,1,37
127,0.14285714285714285,0,7
128,0.0625,0,16
129,0.1,0,10
130,0.2,0,5
131,0.2,0,5
132,0.25,0,4
133,0.1111111111111111,0,9
134,0.1111111111111111,1,18
135,0.06666666666666667,1,30
136,0.037037037037037035,0,27
137,0.125,0,8
138,0.015625,0,64
139,0.5,0,2
140,0.05555555555555555,0,18
141,0.09090909090909091,0,11
142,0.043478260869565216,1,46
143,0.25,0,4
144,0.14285714285714285,0,7
145,0.0625,0,16
146,0.041666666666666664,0,24
147,0.1,0,10
148,0.07692307692307693,0,13
149,0.06818181818181818,2,44
150,0.08333333333333333,0,12
151,0.16666666666666666,0,6
152,0.2,0,5
153,0.058823529411764705,0,17
154,1.0,0,1
155,0.1111111111111111,0,9
156,0.04,0,25
157,0.25,0,4
158,0.08333333333333333,0,12
159,0.038461538461538464,0,26
160,0.14285714285714285,0,7
161,0.14285714285714285,0,7
162,1.0,0,1
163,0.06666666666666667,0,15
164,0.14285714285714285,0,7
165,0.09090909090909091,0,11
166,0.1,0,10
167,0.125,0,8
168,0.043478260869565216,1,46
169,0.3333333333333333,0,3
170,0.5,0,2
171,0.25,0,4
172,0.14285714285714285,0,7
173,0.05,0,20
174,1.0,0,1
175,1.0,0,1
176,0.5,0,2
177,0.1,0,10
178,1.0,0,1
179,0.125,0,8
180,0.15384615384615385,1,13
181,1.0,0,1
182,0.125,0,8
183,0.125,0,8
184,0.022222222222222223,0,45
185,1.0,0,1
186,0.1111111111111111,0,9
187,0.14285714285714285,0,7
188,0.037037037037037035,0,27
189,0.2,0,5
190,0.16666666666666666,0,6
191,0.14285714285714285,0,7
192,0.5,0,2
193,0.05,0,20
194,0.25,0,4
195,0.08333333333333333,0,12
196,0.125,0,8
197,1.0,0,1
198,0.3333333333333333,0,3
199,0.16666666666666666,0,6
200,0.16666666666666666,0,6
201,0.02857142857142857,0,35
202,0.125,0,8
203,0.125,0,8
204,0.25,0,4
205,0.1111111111111111,0,9
206,0.03225806451612903,0,31
207,1.0,0,1
208,0.16666666666666666,0,6
209,0.1111111111111111,0,9
210,0.125,0,8
211,0.047619047619047616,0,21
212,0.0625,0,16
213,0.125,0,8
214,0.045454545454545456,0,22
215,0.16666666666666666,0,6
216,0.05,0,20
217,0.08,1,25
218,0.02702702702702703,0,37
219,0.09090909090909091,0,11
220,0.03125,0,32
221,0.2,0,5
222,0.03571428571428571,0,28
223,0.06060606060606061,1,33
224,0.3333333333333333,0,3
225,0.125,0,8
226,0.05555555555555555,0,18
227,0.14285714285714285,0,7
228,0.03125,0,32
229,0.2857142857142857,1,7
230,0.058823529411764705,0,17
231,0.1111111111111111,0,9
232,0.1111111111111111,0,9
233,0.125,0,8
234,0.125,0,8
235,0.25,0,4
236,0.25,0,4
237,0.25,0,4
238,0.0625,0,16
239,0.2,0,5
240,0.06666666666666667,0,15
241,0.03125,0,32
242,0.05263157894736842,0,19
243,0.07142857142857142,0,14
244,0.045454545454545456,0,22
245,0.05555555555555555,0,18
