Episode,Loss,Reward,Step
0,1.5,-1.5,8
1,1.246,-1.2666666666666666,15
2,1.3301818181818184,-1.3636363636363635,11
3,1.0585620407407408,-1.1481481481481481,27
4,2.2039666666666666,-2.3333333333333335,3
5,1.5626411333333337,-1.6666666666666667,6
6,1.4750298000000002,-1.8,5
7,1.2396892437692306,-1.3076923076923077,13
8,1.8181585249999999,-2.0,4
9,1.2528948915,-1.4,10
10,1.48909502085,-1.6666666666666667,6
11,1.0372554945920793,-1.1904761904761905,21
12,1.6025158198359,-2.0,4
13,1.1950906826053076,-1.3076923076923077,13
14,1.086907450237295,-1.2,20
15,0.9987949590036259,-1.1111111111111112,36
16,1.17832130549795,-1.3636363636363635,11
17,1.1281082658652366,-1.3333333333333333,12
18,1.027024498002653,-1.1666666666666667,24
19,1.15272992574956,-1.3333333333333333,12
20,1.3276360311089541,-1.8,5
21,1.0065960770900886,-1.2,20
22,1.0978766655038374,-1.4,10
23,1.270279744840137,-1.5,8
24,1.2273630319868416,-1.5,8
25,1.3474817915784616,-2.0,4
26,1.020261544530415,-1.1,40
27,1.037641414122941,-1.2,20
28,1.0770981681123184,-1.2666666666666666,15
29,0.9524113441820935,-1.1176470588235294,34
30,1.1242499808408621,-1.3076923076923077,13
31,1.065511318426021,-1.5,8
32,1.0120843628363418,-1.1176470588235294,34
33,1.1004353924546806,-1.4444444444444444,9
34,1.1256444847141533,-0.4,10
35,1.104429474964669,-1.4,10
36,0.9599575708834386,-1.1428571428571428,28
37,1.0020059755176987,-1.0930232558139534,43
38,0.9827966701383551,-1.1081081081081081,37
39,1.1018394326000158,-1.5714285714285714,7
40,0.9893298922862025,-1.1904761904761905,21
41,0.9744188640284511,-1.4444444444444444,9
42,0.9571731130451578,-0.5714285714285714,14
43,0.8931085969183589,-0.5384615384615384,13
44,0.9703871038443862,-1.0769230769230769,52
45,1.2047207957949781,-1.6666666666666667,6
46,0.9443184694768259,-1.0754716981132075,53
47,0.9523943278451789,0.0,6
48,1.3534787075778965,-2.3333333333333335,3
49,0.9635030542654007,-1.4,10
50,0.8792693646318509,-1.2105263157894737,19
51,1.05675228191007,-1.5714285714285714,7
52,0.8969563226644757,-0.3333333333333333,9
53,0.9758494541114889,-1.0888888888888888,45
54,1.042413705786281,-1.2857142857142858,14
55,0.9892129691981133,-1.3636363636363635,11
56,0.8510909966313975,-0.5,12
57,0.895365800753452,-1.16,25
58,0.9568064715791442,-1.5714285714285714,7
59,0.7853895576779388,-0.4,10
60,0.7722301736051852,-0.6666666666666666,18
61,0.9216472887249552,-1.4,10
62,1.0400108588581116,-1.6666666666666667,6
63,1.0856983434622556,-1.3636363636363635,11
64,0.9989888347664291,-1.3636363636363635,11
65,1.0702933200887246,-2.3333333333333335,3
66,0.9845014865943518,-1.08,50
67,0.7312254225078555,-0.14285714285714285,7
68,0.8502660150607926,-0.6,15
69,0.9412641647059447,-1.0952380952380953,42
70,0.9642503011877414,-2.3333333333333335,3
71,0.6685576740166617,-0.3333333333333333,9
72,0.8621061564349114,-1.4,10
73,0.6977293763845215,-0.45454545454545453,11
74,0.9294442697522343,-1.1818181818181819,22
75,1.0771064179423993,-1.4444444444444444,9
76,0.6287898870438088,-0.3333333333333333,9
77,1.0294663001398292,-1.8,5
78,0.6665765922558003,-0.5714285714285714,14
79,0.9298118769935472,-1.1379310344827587,29
80,0.7827180684081955,-0.45454545454545453,11
81,1.016491507309927,-1.8,5
82,0.9385810919389042,-0.7777777777777778,27
83,0.5541062839222662,0.0,6
84,1.0746991669203338,-2.0,4
85,0.6019301837510439,-0.3333333333333333,9
86,0.6203334301989654,-0.3333333333333333,9
87,0.9141847821679814,-0.9090909090909091,66
88,0.837192052928579,-1.2352941176470589,17
89,0.5723495279941561,-0.25,8
90,0.5355287104438622,-0.25,8
91,0.4859622434112992,0.0,6
92,0.8234711366609514,-1.4444444444444444,9
93,0.4671422516675101,0.0,6
94,0.4566733758990454,0.0,6
95,0.44561879185404846,0.0,6
96,0.4404301320329298,0.0,6
97,0.574369002763599,-0.25,8
98,0.42978362596094505,0.0,6
99,0.4245454876340374,0.0,6
100,0.8258726358708023,-0.8421052631578947,38
101,0.41235649166581617,0.0,6
102,0.40632433893461767,0.0,6
103,0.3999762967038237,0.0,6
104,0.3933436136816413,0.0,6
105,0.386454738752644,0.0,6
106,0.37933587919887035,0.0,6
107,0.3720114423945667,0.0,6
108,0.3410759203548346,-0.14285714285714285,7
109,0.35683646058928664,0.0,6
110,0.43177789354464713,-0.25,8
111,0.34110031526917933,0.0,6
112,0.3330712396623522,0.0,6
113,0.3249597812028975,0.0,6
114,0.3167838757577251,0.0,6
115,0.3085608703138048,0.0,6
116,0.3003075320090997,0.0,6
117,0.2920400455780927,0.0,6
118,0.28377400265435493,0.0,6
119,0.27552438575388033,0.0,6
120,0.2673055492346067,0.0,6
121,0.25913119907680965,0.0,6
122,0.2510143729450384,0.0,6
123,0.2429674216658784,0.0,6
124,0.2350019929792476,0.0,6
125,0.22712901818758266,0.0,6
126,0.2193587021314025,0.0,6
127,0.21170051675644783,0.0,6
128,0.20416319840259098,0.0,6
129,0.19675474883426247,0.0,6
130,0.18948243994297975,0.0,6
131,0.18235282198179958,0.0,6
132,0.17537173513663662,0.0,6
133,0.1685443241981356,0.0,6
134,0.16187505606819116,0.0,6
135,0.15536773981551652,0.0,6
136,0.14902554898333462,0.0,6
137,0.14285104584792305,0.0,6
138,0.13684620732818895,0.0,6
139,0.13101245225262473,0.0,6
140,0.12535066969995798,0.0,6
141,0.11986124814276113,0.0,6
142,0.11454410513850515,0.0,6
143,0.10939871732942962,0.0,6
144,0.10442415053061675,0.0,6
145,0.09961908970436402,0.0,6
146,0.09498186863795693,0.0,6
147,0.09051049916093283,0.0,6
148,0.08620269975664079,0.0,6
149,0.08205592344111357,0.0,6
150,0.07806738479981302,0.0,6
151,0.07423408608954953,0.0,6
152,0.07055284232870487,0.0,6
153,0.06702030531374269,0.0,6
154,0.0636329865138075,0.0,6
155,0.06038727880798392,0.0,6
156,0.05727947704148201,0.0,6
157,0.0543057973876585,0.0,6
158,0.051462395512380306,0.0,6
159,0.048745383545826255,0.0,6
160,0.04615084587443011,0.0,6
161,0.043674853772351974,0.0,6
162,0.04131347889765957,0.0,6
163,0.039062805683365454,0.0,6
164,0.03691894265765113,0.0,6
165,0.03487803273107814,0.0,6
166,0.03293626249137438,0.0,6
167,0.031089870548577533,0.0,6
168,0.029335154974936037,0.0,6
169,0.027668479885096676,0.0,6
170,0.026086281202769453,0.0,6
171,0.024585071660324465,0.0,6
172,0.02316144507768014,0.0,6
173,0.021812079966421937,0.0,6
174,0.020533742504410087,0.0,6
175,0.019323288925205236,0.0,6
176,0.018177667365518086,0.0,6
177,0.017093919212591634,0.0,6
178,0.01606917999200018,0.0,6
179,0.015100679834796613,0.0,6
180,0.014185743561320588,0.0,6
181,0.013321790417282972,0.0,6
182,0.012506333496009122,0.0,6
183,0.011736978878961737,0.0,6
184,0.011011424524898339,0.0,6
185,0.010327458936249293,0.0,6
186,0.009682959629556578,0.0,6
187,0.009075891435091207,0.0,6
188,0.008504304649084827,0.0,6
189,0.007966333060365621,0.0,6
190,0.0074601918716011755,0.0,6
191,0.006984175533813082,0.0,6
192,0.0065366555113490765,0.0,6
193,0.006116077993085546,0.0,6
194,0.0057209615642797446,0.0,6
195,0.005349894852206591,0.0,6
196,0.005001534157493705,0.0,6
197,0.004674601081917293,0.0,6
198,0.004367880162333661,0.0,6
199,0.0040802165193994005,0.0,6
200,0.0038105135287770145,0.0,6
201,0.0035577305216284764,0.0,6
202,0.0033208805203648237,0.0,6
203,0.003099028014846202,0.0,6
204,0.002891286783513159,0.0,6
205,0.0026968177632587242,0.0,6
206,0.00251482697125339,0.0,6
207,0.002344563481362879,0.0,6
208,0.00218531745729481,0.0,6
209,0.0020364182441389065,0.0,6
210,0.0018972325195415335,0.0,6
211,0.0017671625053706785,0.0,6
212,0.0016456442403800277,0.0,6
213,0.0015321459140706188,0.0,6
214,0.0014261662616669908,0.0,6
215,0.0013272330198808534,0.0,6
216,0.0012349014429122406,0.0,6
217,0.001148752877947153,0.0,6
218,0.0010683933992449203,0.0,6
219,0.0009934524997578704,0.0,6
220,0.0009235818391043297,0.0,6
221,0.000858454046614938,0.0,6
222,0.0007977615780729123,0.0,6
223,0.0007412156247087279,0.0,6
224,0.0006885450729462542,0.0,6
225,0.0006394955133530537,0.0,6
226,0.0005938282972160341,0.0,6
227,0.0005513196391444772,0.0,6
228,0.0005117597640830843,0.0,6
229,0.00047495209712497083,0.0,6
230,0.000440712494504808,0.0,6
231,0.0004088685141778227,0.0,6
232,0.0003792587243934507,0.0,6
233,0.00035173204870288705,0.0,6
234,0.0003261471458634452,0.0,6
235,0.00030237182312965277,0.0,6
236,0.0002802824814590275,0.0,6
237,0.0002597635911917584,0.0,6
238,0.00024070719680517141,0.0,6
239,0.00022301244938055983,0.0,6
240,0.00020658516546337435,0.0,6
241,0.00019133741103809684,0.0,6
242,0.00017718710938538496,0.0,6
243,0.00016405767162642101,0.0,6
244,0.00015187764880962573,0.0,6
