Episode,Loss,Reward,Step
0,1.5,-1.5,8
1,1.0998170833333334,-1.1666666666666667,24
2,0.9719943535882353,-1.1176470588235294,34
3,1.7750732417,-2.0,4
4,0.9794652871612631,-1.105263157894737,38
5,1.0422595058292143,-1.2857142857142858,14
6,0.8157839042662155,-1.2666666666666666,15
7,2.0733004366666665,-2.3333333333333335,3
8,0.8056658013479087,-1.3333333333333333,12
9,1.5477837122915206,-2.0,4
10,1.1235646442015748,-1.3076923076923077,13
11,2.0055953976109664,-2.3333333333333335,3
12,1.0119262040810157,-1.3333333333333333,12
13,0.8703977880348983,-1.1666666666666667,24
14,1.0283651239568299,-1.3333333333333333,12
15,1.67170805113257,-2.3333333333333335,3
16,0.9505153119314291,-1.4444444444444444,9
17,1.4844895671486436,-2.3333333333333335,3
18,1.1641267551737913,-1.5714285714285714,7
19,0.9638961725685956,-1.2857142857142858,14
20,0.8273483684217167,-1.4444444444444444,9
21,0.7762322257725532,-1.173913043478261,23
22,0.8160601382892722,-1.4,10
23,1.0999470532033706,-1.8,5
24,0.6888528377898263,-1.1904761904761905,21
25,0.8791081677896513,-0.7391304347826086,23
26,0.615249423940429,-1.5714285714285714,7
27,0.8226392480331933,-1.3333333333333333,12
28,0.694491804103285,-1.4444444444444444,9
29,0.8631549291798234,-1.2666666666666666,15
30,1.1346572952713228,-1.5714285714285714,7
31,0.7160082333998573,-1.2352941176470589,17
32,0.8933264157221873,-1.2857142857142858,14
33,1.3233959656199472,-2.0,4
34,1.1092933437908226,-1.6666666666666667,6
35,0.6425012318425674,-1.3076923076923077,13
36,1.0884513248080818,-1.6666666666666667,6
37,1.1996800993239818,-2.0,4
38,0.6685815812804314,-1.6666666666666667,6
39,0.8310339015146715,-1.3333333333333333,12
40,0.9163830884269646,-2.0,4
41,0.8702205765680145,-1.2352941176470589,17
42,0.9255727420891073,-1.8,5
43,0.8801782402907149,-0.6470588235294118,17
44,0.9299573234280236,-1.4,10
45,0.8479916099657381,-2.0,4
46,0.6728248653901998,-1.3333333333333333,12
47,0.7559327759833743,-1.8,5
48,1.1589428145763094,-1.5,8
49,0.9579389851650036,-1.1904761904761905,21
50,0.9939884600085559,-1.4,10
51,0.7648678087617201,-1.2666666666666666,15
52,0.7780348371298199,-1.6666666666666667,6
53,0.9100245724784396,-1.3333333333333333,12
54,0.6757897377667211,-1.3076923076923077,13
55,0.6345333366970078,-1.2352941176470589,17
56,0.798425769117782,-1.3636363636363635,11
57,1.0956457944759515,-1.8,5
58,0.7489835645533786,-1.4,10
59,0.552160526288352,-1.4,10
60,0.5150415390846831,-1.4,10
61,0.7981628581193915,-1.2666666666666666,15
62,0.6116049738599525,-1.2352941176470589,17
63,0.5385107655630533,-1.5714285714285714,7
64,0.5826759822061719,-1.5714285714285714,7
65,0.9461680855041364,-1.4444444444444444,9
66,0.8814785738279842,-1.3636363636363635,11
67,0.7445859597357879,-1.8,5
68,0.9284944667987082,-1.4444444444444444,9
69,0.49215785785811317,-1.5714285714285714,7
70,0.7279381505335942,-0.7692307692307693,26
71,0.88329704169261,-1.3333333333333333,12
72,0.8245915600106855,-1.4,10
73,0.7157898271222153,-1.5714285714285714,7
74,0.635284951103602,-1.5,8
75,0.5814846253409647,-1.2857142857142858,14
76,0.6539920583314934,-1.3636363636363635,11
77,0.6019971776482255,-1.6666666666666667,6
78,0.9230624328454528,-1.1818181818181819,22
79,1.0128783699532595,-1.2105263157894737,19
80,0.7797820137531661,-1.3636363636363635,11
81,0.6760157321284104,-1.6666666666666667,6
82,0.8571980075233583,-1.5714285714285714,7
83,0.6794836826301776,-1.2352941176470589,17
84,0.68834861433317,-1.8,5
85,0.5978203102924673,-1.5,8
86,0.4336463058911882,-1.6666666666666667,6
87,0.40314389005299384,-2.0,4
88,0.5984599428859292,-2.0,4
89,0.6273556408854827,-1.4444444444444444,9
90,0.5912659513762943,-1.5,8
91,0.6144069415855871,-0.45454545454545453,11
92,0.6055465790578088,-1.6666666666666667,6
93,0.7456869166858053,-1.3076923076923077,13
94,0.9966486029698078,-1.1818181818181819,22
95,0.35702983670382943,-2.3333333333333335,3
96,0.6933705620074779,-0.6470588235294118,17
97,0.6115232128427015,-2.0,4
98,0.8309983988255222,-1.6666666666666667,6
99,0.6739628216998872,-1.3333333333333333,12
100,0.5223424287076908,-1.5,8
101,0.4985622797238072,-2.0,4
102,0.6503560671153393,-2.3333333333333335,3
103,0.8241600953050668,-1.16,25
104,0.76005025138462,-1.6666666666666667,6
105,0.6679821546125968,-1.4444444444444444,9
106,0.6744127426989359,-1.3636363636363635,11
107,0.9380266802773992,-1.1290322580645162,31
108,0.8589732081472797,-1.1379310344827587,29
109,0.7474373373022273,-0.14285714285714285,7
110,0.33990902670972534,-2.0,4
111,0.8970013609900531,-1.1481481481481481,27
112,0.739370849879947,-1.121212121212121,33
